model_type,epoch,train_loss,val_loss,val_accuracy,val_macro_f1
classical,1,1.185343970489502,0.9566745595932007,0.609,0.5986969157158091
classical,2,0.7095555249691009,0.7904663019180298,0.701,0.6965076118955842
classical,3,0.46238732392787935,0.7341783018112182,0.734,0.7335508088559201
classical,4,0.31126958026885987,0.7710412940979003,0.752,0.7513688170347683
classical,5,0.2016314887881279,0.8856024513244629,0.748,0.7489367097251226
