depth,grad_mean_abs,grad_variance,grad_norm
1,0.002420329209417105,1.5287792120943777e-05,0.011423567496240138
2,0.0037881581112742422,3.557855052349623e-05,0.020272357761859892
3,0.0038683537393808367,4.8912987404037266e-05,0.026744891330599783
4,0.003612405527383089,4.2304704766138454e-05,0.028323744609951972
5,0.0029589325888082383,3.476777528703679e-05,0.027023423090577127
